auto_scale_mul,canvas_height_px,canvas_width_px,final_scale_mul,group,hitbox_h_px,hitbox_id,hitbox_w_px,hitbox_x_px,hitbox_y_px,preserve_aspect,render_bitmap_h_px,render_bitmap_w_px,render_top_left_x_px,render_top_left_y_px,render_visible_h_px,render_visible_w_px,scale_override_mul,source_bitmap_h_px,source_bitmap_w_px,source_content_h_px,source_content_w_px,source_content_x_px,source_content_y_px,source_file,source_path,status,variant
,,,,control,,TEMP_CONT,,,,,,,,,,,,,,,,,,,,no_source_match,legacy
,5276,3748,,annunciator,21.1,400_CYCLE,74.02,1983.95,2498.1,False,21.1,74.02,,,,,,133,419,,,,,400_CYCLE.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/400_CYCLE.png,compiled,legacy
,5276,3748,,annunciator,22.64,AFT_FUEL_LOW_LEVEL,73.11,1667.86,2498.76,False,22.64,73.11,,,,,,130,417,,,,,AFT_FUEL_LOW_LEVEL.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/AFT_FUEL_LOW_LEVEL.png,compiled,legacy
,5276,3748,,annunciator,21.1,BLANK,73.12,2066.13,2449.22,False,21.1,73.12,,,,,,132,422,,,,,BLANK.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/BLANK.png,compiled,legacy
,5276,3748,,annunciator,23.22,BOOST_PUMP_1_AFT_PRESS,73.85,1668.19,2474.41,False,23.22,73.85,,,,,,133,421,,,,,BOOST_PUMP_1_AFT_PRESS.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/BOOST_PUMP_1_AFT_PRESS.png,compiled,legacy
,5276,3748,,annunciator,21.25,BOOST_PUMP_1_FWD_PRESS,73.17,2067.04,2473.56,False,21.25,73.17,,,,,,131,420,,,,,BOOST_PUMP_1_FWD_PRESS.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/BOOST_PUMP_1_FWD_PRESS.png,compiled,legacy
,5276,3748,,annunciator,21.1,BOOST_PUMP_2_AFT_PRESS,71.97,1748.99,2473.2,False,21.1,71.97,,,,,,130,420,,,,,BOOST_PUMP_2_AFT_PRESS.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/BOOST_PUMP_2_AFT_PRESS.png,compiled,legacy
,5276,3748,,annunciator,24.22,BOOST_PUMP_2_FWD_PRESS,71.42,1986.09,2472.31,False,24.22,71.42,,,,,,132,419,,,,,BOOST_PUMP_2_FWD_PRESS.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/BOOST_PUMP_2_FWD_PRESS.png,compiled,legacy
,5276,3748,,annunciator,23.75,DOORS_UNLOCKED,73.91,1668.06,2449.54,False,23.75,73.91,,,,,,129,417,,,,,DOORS_UNLOCKED.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/DOORS_UNLOCKED.png,compiled,legacy
,5276,3748,,annunciator,23.95,DUCT_OVERHEAT,72.88,1748.33,2496.39,False,23.95,72.88,,,,,,132,420,,,,,DUCT_OVERHEAT.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/DUCT_OVERHEAT.png,compiled,legacy
,5276,3748,,annunciator,22.12,FWD_FUEL_LOW_LEVEL,71.73,2067.42,2497.92,False,22.12,71.73,,,,,,130,419,,,,,FWD_FUEL_LOW_LEVEL.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/FWD_FUEL_LOW_LEVEL.png,compiled,legacy
,5276,3748,,annunciator,22.2,L_ENGINE_OIL_PRESS,72.25,1586.87,2498.82,False,22.2,72.25,,,,,,132,422,,,,,L_ENGINE_OIL_PRESS.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/L_ENGINE_OIL_PRESS.png,compiled,legacy
,5276,3748,,annunciator,23.22,L_GENERATOR,72.8,1586.25,2473.35,False,23.22,72.8,,,,,,133,423,,,,,L_GENERATOR.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/L_GENERATOR.png,compiled,legacy
,5276,3748,,annunciator,23.44,L_GENERATOR_OVERHEAT,70.92,1587.75,2449.62,False,23.44,70.92,,,,,,128,419,,,,,L_GENERATOR_OVERHEAT.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/L_GENERATOR_OVERHEAT.png,compiled,legacy
,5276,3748,,annunciator,22.16,PNEUMATIC_LOW_PRESSURE,72.25,1748.04,2449.62,False,22.16,72.25,,,,,,193,584,,,,,PNEUMATIC_LOW_PRESSURE.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/PNEUMATIC_LOW_PRESSURE.png,compiled,legacy
,5276,3748,,annunciator,21.69,RESET_PROPS,71.96,1984.76,2449.45,False,21.69,71.96,,,,,,133,419,,,,,RESET_PROPS.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/RESET_PROPS.png,compiled,legacy
,5276,3748,,annunciator,23.19,R_ENGINE_OIL_PRESS,73.61,2145.79,2497.81,False,23.19,73.61,,,,,,130,421,,,,,R_ENGINE_OIL_PRESS.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/R_ENGINE_OIL_PRESS.png,compiled,legacy
,5276,3748,,annunciator,21.1,R_GENERATOR,71.57,2146.17,2473.11,False,21.1,71.57,,,,,,130,420,,,,,R_GENERATOR.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/R_GENERATOR.png,compiled,legacy
,5276,3748,,annunciator,21.1,R_GENERATOR_OVERHEAT,70.51,2146.14,2449.51,False,21.1,70.51,,,,,,125,415,,,,,R_GENERATOR_OVERHEAT.png,core-res/src/main/assets/cockpit/assets/annunciators/legacy/R_GENERATOR_OVERHEAT.png,compiled,legacy
,5276,3748,,visual,72.0,FUEL_FLOW_GAUGE_L,72.0,1478.97,2808.54,False,72.0,72.0,,,,,,1024,1024,,,,,FUEL_FLOW_GAUGE_L.png,core-res/src/main/assets/cockpit/assets/instruments/legacy/FUEL_FLOW_GAUGE_L.png,compiled,legacy
,5276,3748,,visual,72.0,FUEL_FLOW_GAUGE_R,72.0,1820.49,2807.45,False,72.0,72.0,,,,,,1024,1024,,,,,FUEL_FLOW_GAUGE_R.png,core-res/src/main/assets/cockpit/assets/instruments/legacy/FUEL_FLOW_GAUGE_R.png,compiled,legacy
,5276,3748,,visual,104.0,FUEL_QUANTITY_GAUGE_L,104.0,1444.06,3194.29,False,104.0,104.0,,,,,,1024,1024,,,,,FUEL_QUANTITY_GAUGE_L.png,core-res/src/main/assets/cockpit/assets/instruments/legacy/FUEL_QUANTITY_GAUGE_L.png,compiled,legacy
,5276,3748,,visual,104.0,FUEL_QUANTITY_GAUGE_R,104.0,1822.13,3195.38,False,104.0,104.0,,,,,,1024,1024,,,,,FUEL_QUANTITY_GAUGE_R.png,core-res/src/main/assets/cockpit/assets/instruments/legacy/FUEL_QUANTITY_GAUGE_R.png,compiled,legacy
,5276,3748,,visual,104.0,NG_GAUGE_L,104.0,1577.34,3082.38,False,104.0,104.0,,,,,,1024,1024,,,,,NG_GAUGE_L.png,core-res/src/main/assets/cockpit/assets/instruments/legacy/NG_GAUGE_L.png,compiled,legacy
,5276,3748,,visual,104.0,NG_GAUGE_R,104.0,1693.16,3082.73,False,104.0,104.0,,,,,,1024,1024,,,,,NG_GAUGE_R.png,core-res/src/main/assets/cockpit/assets/instruments/legacy/NG_GAUGE_R.png,compiled,legacy
,5276,3748,,visual,104.0,NP_GAUGE_L,104.0,1576.95,2847.02,False,104.0,104.0,,,,,,1024,1024,,,,,NP_GAUGE_L.png,core-res/src/main/assets/cockpit/assets/instruments/legacy/NP_GAUGE_L.png,compiled,legacy
,5276,3748,,visual,104.0,NP_GAUGE_R,104.0,1694.55,2846.95,False,104.0,104.0,,,,,,1024,1024,,,,,NP_GAUGE_R.png,core-res/src/main/assets/cockpit/assets/instruments/legacy/NP_GAUGE_R.png,compiled,legacy
,5276,3748,,visual,72.0,OIL_PRESS_GAUGE_L,72.0,1479.65,2909.81,False,72.0,72.0,,,,,,1024,1024,,,,,OIL_PRESS_GAUGE_L.png,core-res/src/main/assets/cockpit/assets/instruments/legacy/OIL_PRESS_GAUGE_L.png,compiled,legacy
,5276,3748,,visual,72.0,OIL_PRESS_GAUGE_R,72.0,1820.98,2908.59,False,72.0,72.0,,,,,,1024,1024,,,,,OIL_PRESS_GAUGE_R.png,core-res/src/main/assets/cockpit/assets/instruments/legacy/OIL_PRESS_GAUGE_R.png,compiled,legacy
,5276,3748,,visual,72.0,OIL_TEMP_GAUGE_L,72.0,1479.76,3011.34,False,72.0,72.0,,,,,,1024,1024,,,,,OIL_TEMP_GAUGE_L.png,core-res/src/main/assets/cockpit/assets/instruments/legacy/OIL_TEMP_GAUGE_L.png,compiled,legacy
