auto_scale_mul,canvas_height_px,canvas_width_px,final_scale_mul,group,hitbox_h_px,hitbox_id,hitbox_w_px,hitbox_x_px,hitbox_y_px,preserve_aspect,render_bitmap_h_px,render_bitmap_w_px,render_top_left_x_px,render_top_left_y_px,render_visible_h_px,render_visible_w_px,scale_override_mul,source_bitmap_h_px,source_bitmap_w_px,source_content_h_px,source_content_w_px,source_content_x_px,source_content_y_px,source_file,source_path,status,variant
1.392432,5276,3744,1.392432,control,56.0,STARTER_SWITCH,55.94,1206.49,1673.41,,74,68,1203.89,1653.14,52,50,1.0,53,49,37,36,4,16,STARTER_SWITCH.png,core-res/src/main/assets/cockpit/assets/controls/g950/STARTER_SWITCH.png,compiled,g950
1.0293,5276,3744,1.0293,control,56.0,WING_INSPECT,55.94,1832.01,103.28,,67,73,1812.87,87.69,46,51,1.0,65,71,45,50,21,20,WING_INSPECT.png,core-res/src/main/assets/cockpit/assets/controls/g950/WING_INSPECT.png,compiled,g950
2.067791,5276,3744,2.067791,control,72.0,WINDSHIELD_HEAT,71.92,2645.58,1657.96,,105,114,2623.73,1633.01,64,66,1.0,51,55,31,32,12,14,WINDSHIELD_HEAT.png,core-res/src/main/assets/cockpit/assets/controls/g950/WINDSHIELD_HEAT.png,compiled,g950
1.61561,5276,3744,1.61561,control,72.0,WINDSHIELD_MODE,71.92,2540.9,1534.73,,78,94,2526.63,1528.04,66,52,1.0,48,58,41,32,15,6,WINDSHIELD_MODE.png,core-res/src/main/assets/cockpit/assets/controls/g950/WINDSHIELD_MODE.png,compiled,g950
2.067791,5276,3744,2.067791,control,72.0,WINDSHIELD_POWER,71.92,2472.66,1533.58,,97,116,2454.94,1525.17,64,66,1.0,47,56,31,32,10,6,WINDSHIELD_POWER.png,core-res/src/main/assets/cockpit/assets/controls/g950/WINDSHIELD_POWER.png,compiled,g950
1.741298,5276,3744,1.741298,control,72.0,WINDSHIELD_WASHER,71.92,2646.92,1528.71,,91,104,2632.47,1517.04,64,66,1.0,52,60,37,38,10,9,WINDSHIELD_WASHER.png,core-res/src/main/assets/cockpit/assets/controls/g950/WINDSHIELD_WASHER.png,compiled,g950
0.775615,5276,3744,0.775615,control,78.83,AILERON_TRIM,110.44,905.34,4891.31,,95,133,895.6,4887.1,64,102,1.0,122,171,83,131,18,15,AILERON_TRIM.png,core-res/src/main/assets/cockpit/assets/controls/g950/AILERON_TRIM.png,compiled,g950
,,,,control,,AUTOFEATHER_SELECT,,,,,,,,,,,,,,,,,,,core-res/src/main/assets/cockpit/assets/controls/g950/AUTOFEATHER_SELECT.png,skipped_panel_chunk,g950
0.752644,5276,3744,0.812856,control,203.82,FLAP_SELECTOR,45.0,1878.91,2094.33,,257,57,1878.9,2264.36,6,45,1.08,316,70,7,55,0,14,FLAP_SELECTOR.png,core-res/src/main/assets/cockpit/assets/controls/g950/FLAP_SELECTOR.png,compiled,g950
,,,,control,,FASTEN_SEATBELTS,,,,,,,,,,,,,,,,,,,,no_source_match,g950
,,,,control,,FLIGHT_COMP,,,,,,,,,,,,,,,,,,,,no_source_match,g950
,,,,control,,CAUT_LT_TEST,,,,,,,,,,,,,,,,,,,,no_source_match,g950
,,,,control,,FLOOD_LIGHT,,,,,,,,,,,,,,,,,,,,no_source_match,g950
,,,,control,,AC_FUNCT,,,,,,,,,,,,,,,,,,,,no_source_match,g950
,,,,control,,AC_PWR,,,,,,,,,,,,,,,,,,,,no_source_match,g950
,,,,control,,STAB_DEICE_R,,,,,,,,,,,,,,,,,,,,no_source_match,g950
,,,,control,,STAB_DEICE_L,,,,,,,,,,,,,,,,,,,,no_source_match,g950
,,,,control,,BLEED_AIR_L,,,,,,,,,,,,,,,,,,,,no_source_match,g950
,,,,control,,BLEED_AIR_R,,,,,,,,,,,,,,,,,,,,no_source_match,g950
0.902895,5276,3744,0.902895,control,56.0,BETA_SYS_CB,55.94,336.29,444.01,,60,57,336.05,442.0,51,51,1.0,67,63,57,57,3,5,BETA_SYS_CB.png,core-res/src/main/assets/cockpit/assets/controls/g950/BETA_SYS_CB.png,compiled,g950
0.888276,5276,3744,0.888276,control,56.0,AIL_TRIM_ACT_CB,55.94,338.39,1643.14,,52,53,339.08,1644.25,52,51,1.0,59,60,58,57,2,1,AIL_TRIM_ACT_CB.png,core-res/src/main/assets/cockpit/assets/controls/g950/AIL_TRIM_ACT_CB.png,compiled,g950
0.902895,5276,3744,0.902895,control,56.0,HYD_OIL_PUMP_CB,55.94,463.71,872.98,,52,54,464.38,874.58,51,51,1.0,58,60,57,57,2,1,HYD_OIL_PUMP_CB.png,core-res/src/main/assets/cockpit/assets/controls/g950/HYD_OIL_PUMP_CB.png,compiled,g950
,,,,control,,TEMP_CONT,,,,,,,,,,,,,,,,,,,,no_source_match,g950
0.278213,5276,3744,0.278213,control,88.0,FIRE_DETECT_TEST,88.0,1810.66,2639.15,,73,81,1814.16,2651.65,63,81,1.0,261,291,226,291,0,0,FIRE_DETECT_TEST.png,core-res/src/main/assets/cockpit/assets/controls/g950/FIRE_DETECT_TEST.png,compiled,g950
0.836364,5276,3744,0.836364,control,120.0,FIRE_PUSH_SWITCH_L,120.0,1643.28,2624.64,,93,115,1648.28,2634.09,76,110,1.0,111,137,91,132,0,15,FIRE_PUSH_SWITCH_L.png,core-res/src/main/assets/cockpit/assets/controls/g950/FIRE_PUSH_SWITCH_L.png,compiled,g950
0.836364,5276,3744,0.836364,control,120.0,FIRE_PUSH_SWITCH_R,120.0,1940.52,2624.97,,95,114,1942.17,2640.28,76,110,1.0,113,136,91,132,4,8,FIRE_PUSH_SWITCH_R.png,core-res/src/main/assets/cockpit/assets/controls/g950/FIRE_PUSH_SWITCH_R.png,compiled,g950
